USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
bikennepal        5141   9.4  2.7 508057216 445040   ??  Ss   11:02AM   3:40.89 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
_windowserver      645   1.2  0.8 436965104 135952   ??  Ss   10:05AM  10:07.39 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
bikennepal        1652   0.9  0.6 1892204560  92944   ??  S    10:22AM   0:14.86 /private/var/folders/nk/g6_5bx3x5_s3gfc5l57j1b0w0000gn/T/AppTranslocation/36FC86C3-E8FD-4F3E-B1DD-9EB6A768790B/d/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-GB --service-sandbox-type=none --user-data-dir=/Users/bikennepal/Library/Application Support/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,7254158424841196120,11512384528147521106,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,FontationsLinuxSystemFonts,MacWebContentsOcclusion,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts --variations-seed-version
bikennepal        1129   0.8  1.6 441943904 270480   ??  S    10:05AM   3:16.40 /System/Volumes/Preboot/Cryptexes/App/System/Applications/Safari.app/Contents/MacOS/Safari
bikennepal        1636   0.6  2.0 1894183136 341328   ??  S    10:22AM   1:12.36 /private/var/folders/nk/g6_5bx3x5_s3gfc5l57j1b0w0000gn/T/AppTranslocation/36FC86C3-E8FD-4F3E-B1DD-9EB6A768790B/d/Visual Studio Code.app/Contents/Frameworks/Code Helper (Renderer).app/Contents/MacOS/Code Helper (Renderer) --type=renderer --user-data-dir=/Users/bikennepal/Library/Application Support/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --app-path=/private/var/folders/nk/g6_5bx3x5_s3gfc5l57j1b0w0000gn/T/AppTranslocation/36FC86C3-E8FD-4F3E-B1DD-9EB6A768790B/d/Visual Studio Code.app/Contents/Resources/app --enable-sandbox --enable-blink-features=HighlightAPI --disable-blink-features=FontMatchingCTMigration,StandardizedBrowserZoom, --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=4 --time-ticks-at-unix-epoch=-1774412071064007 --launch-time-ticks=2295229523 --shared-files --field-trial-handle=1718379636,r,7254158424841196120,11512384528147521106,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,FontationsLinuxSystemFonts,MacWebContentsOcclusion,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts --variations-seed-version --vscode-window-config=vscode:aa3f86ba-b687-4c6e-8197-990d875abf56 --seatbelt-client=64
_distnote          621   0.3  0.0 435305552   3648   ??  Ss   10:05AM   0:01.81 /usr/sbin/distnoted daemon
bikennepal         814   0.3  0.0 435305520   5008   ??  S    10:05AM   0:02.41 /usr/sbin/distnoted agent
bikennepal         923   0.2  0.1 435524736  24912   ??  S    10:05AM   0:03.94 /System/Library/CoreServices/Siri.app/Contents/MacOS/Siri launchd
root               632   0.2  0.0 435305392   4128   ??  Ss   10:05AM   0:03.16 /usr/sbin/notifyd
root               606   0.2  0.1 435344240  19024   ??  Ss   10:05AM   0:05.59 /usr/libexec/opendirectoryd
bikennepal        1632   0.2  0.6 469456624  97488   ??  S    10:22AM   0:25.54 /private/var/folders/nk/g6_5bx3x5_s3gfc5l57j1b0w0000gn/T/AppTranslocation/36FC86C3-E8FD-4F3E-B1DD-9EB6A768790B/d/Visual Studio Code.app/Contents/Frameworks/Code Helper (GPU).app/Contents/MacOS/Code Helper (GPU) --type=gpu-process --user-data-dir=/Users/bikennepal/Library/Application Support/Code --gpu-preferences=UAAAAAAAAAAgAAAEAAAAAAAAAAAAAAAAAABgAAMAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAAAAAAAAAAAAAAAABAAAAAAAAAAEAAAAAAAAAAIAAAAAAAAAAgAAAAAAAAA --shared-files --field-trial-handle=1718379636,r,7254158424841196120,11512384528147521106,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,FontationsLinuxSystemFonts,MacWebContentsOcclusion,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts --variations-seed-version --seatbelt-client=32
bikennepal         831   0.1  0.1 435369008  17824   ??  S    10:05AM   0:24.97 /usr/sbin/universalaccessd launchd -s
